,signal
2019-06-28 11:00:00+00:00,1
2019-06-28 11:15:00+00:00,1
2019-06-28 11:30:00+00:00,1
2019-06-28 11:45:00+00:00,1
2019-06-28 12:00:00+00:00,1
2019-06-28 12:15:00+00:00,1
2019-06-28 12:30:00+00:00,1
2019-06-28 12:45:00+00:00,1
2019-06-28 13:00:00+00:00,1
2019-06-28 13:15:00+00:00,1
2019-06-28 13:30:00+00:00,1
2019-06-28 13:45:00+00:00,1
2019-06-28 14:00:00+00:00,1
2019-06-28 14:15:00+00:00,1
2019-06-28 14:30:00+00:00,1
2019-06-28 14:45:00+00:00,1
2019-06-28 15:00:00+00:00,1
2019-06-28 15:15:00+00:00,1
2019-06-28 15:30:00+00:00,1
2019-06-28 15:45:00+00:00,1
2019-06-28 16:00:00+00:00,1
2019-07-01 09:45:00+00:00,0
2019-07-01 10:00:00+00:00,0
2019-07-01 10:15:00+00:00,1
2019-07-01 10:30:00+00:00,1
2019-07-01 10:45:00+00:00,1
2019-07-01 11:00:00+00:00,1
2019-07-01 11:15:00+00:00,1
2019-07-01 11:30:00+00:00,1
2019-07-01 11:45:00+00:00,1
2019-07-01 12:00:00+00:00,1
2019-07-01 12:15:00+00:00,1
2019-07-01 12:30:00+00:00,1
2019-07-01 12:45:00+00:00,1
2019-07-01 13:00:00+00:00,1
2019-07-01 13:15:00+00:00,1
2019-07-01 13:30:00+00:00,1
2019-07-01 13:45:00+00:00,1
2019-07-01 14:00:00+00:00,1
2019-07-01 14:15:00+00:00,1
2019-07-01 14:30:00+00:00,1
2019-07-01 14:45:00+00:00,1
2019-07-01 15:00:00+00:00,1
2019-07-01 15:15:00+00:00,1
2019-07-01 15:30:00+00:00,1
2019-07-01 15:45:00+00:00,1
2019-07-01 16:00:00+00:00,1
2019-07-02 09:45:00+00:00,1
2019-07-02 10:00:00+00:00,0
2019-07-02 10:15:00+00:00,0
2019-07-02 10:30:00+00:00,0
2019-07-02 10:45:00+00:00,0
2019-07-02 11:00:00+00:00,1
2019-07-02 11:15:00+00:00,1
2019-07-02 11:30:00+00:00,1
2019-07-02 11:45:00+00:00,1
2019-07-02 12:00:00+00:00,0
2019-07-02 12:15:00+00:00,0
2019-07-02 12:30:00+00:00,1
2019-07-02 12:45:00+00:00,1
2019-07-02 13:00:00+00:00,0
2019-07-02 13:15:00+00:00,1
2019-07-02 13:30:00+00:00,0
2019-07-02 13:45:00+00:00,0
2019-07-02 14:00:00+00:00,0
2019-07-02 14:15:00+00:00,0
2019-07-02 14:30:00+00:00,0
2019-07-02 14:45:00+00:00,1
2019-07-02 15:00:00+00:00,1
2019-07-02 15:15:00+00:00,1
2019-07-02 15:30:00+00:00,1
2019-07-02 15:45:00+00:00,1
2019-07-02 16:00:00+00:00,0
2019-07-03 09:45:00+00:00,1
2019-07-03 10:00:00+00:00,1
2019-07-03 10:15:00+00:00,1
2019-07-03 10:30:00+00:00,1
2019-07-03 10:45:00+00:00,1
2019-07-03 11:00:00+00:00,1
2019-07-03 11:15:00+00:00,1
2019-07-03 11:30:00+00:00,1
2019-07-03 11:45:00+00:00,1
2019-07-03 12:00:00+00:00,1
2019-07-03 12:15:00+00:00,1
2019-07-03 12:30:00+00:00,1
2019-07-03 12:45:00+00:00,1
2019-07-03 13:00:00+00:00,1
2019-07-03 13:15:00+00:00,1
2019-07-03 13:30:00+00:00,1
2019-07-03 13:45:00+00:00,1
